expression,reading,meaning,tags
ドレス,ドレス,dress,JLPT JLPT_2 JLPT_3
ドライブ,ドライブ,"drive, driving",JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki
トラック,トラック,truck; (running) track,JLPT JLPT_2 JLPT_3
ドラマ,ドラマ,drama,JLPT JLPT_2 JLPT_3
トランプ,トランプ,playing cards (lit: trump),JLPT JLPT_2 JLPT_3
とにかく,とにかく,"anyhow, at any rate, anyway",JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21
グランド,グランド,"gland, grand, (electrical) ground",JLPT JLPT_2 JLPT_3
クリーム,クリーム,cream,JLPT JLPT_2 JLPT_3
できれば,できれば,if possible…,JLPT JLPT_2 JLPT_3
どこか,どこか,"somewhere, anywhere",JLPT JLPT_2 JLPT_3
ところが,ところが,"however, while, even if",JLPT JLPT_2 JLPT_3
ところで,ところで,by the way; even if,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1
スター,スター,star,JLPT JLPT_2 JLPT_3
ウイスキー,ウイスキー,whiskey,JLPT JLPT_2 JLPT_3
ですから,ですから,therefore,JLPT JLPT_2 JLPT_3
テント,テント,tent,JLPT JLPT_2 JLPT_3
どうしても,どうしても,"at any cost, no matter what, no matter how hard one tries",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
どうぞよろしく,どうぞよろしく,pleased to meet you,JLPT JLPT_2 JLPT_3
うがい,うがい,gargling,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
エネルギー,エネルギー,energy (GER: energie),JLPT JLPT_2 JLPT_3
デート,デート,date (in the sense of 'social engagement' only),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5 Genki_Ln.3 Genki
スタイル,スタイル,style,JLPT JLPT_2 JLPT_3
エンジン,エンジン,engine,JLPT JLPT_2 JLPT_3
およそ,およそ,"about, roughly, approximately",JLPT JLPT_2 JLPT_3
カー,カー,car,JLPT JLPT_2 JLPT_3
カード,カード,"card, curd",JLPT JLPT_2 JLPT_3
きちんと,きちんと,"precisely, accurately",JLPT JLPT_2 JLPT_3
きつい,きつい,"tight, close, intense",JLPT JLPT_2 JLPT_3
がっかり,がっかり,"feel disappointed, be dejected, lose heart",JLPT JLPT_2 JLPT_3
かもしれない,かもしれない,"maybe, perhaps",JLPT JLPT_2 JLPT_3
かゆい,かゆい,"itchy, itching",JLPT JLPT_2 JLPT_3
いらいら,いらいら,"getting nervous, irritation",JLPT JLPT_2 JLPT_3
ワイン,ワイン,wine,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9
わがまま,わがまま,"selfishness, egoism, willfulness",JLPT JLPT_2 JLPT_3
いらっしゃい,いらっしゃい,welcome,JLPT JLPT_2 JLPT_3
いわゆる,いわゆる,"the so-called, so-to-speak",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
インク,インク,ink,JLPT JLPT_2 JLPT_3
ことによると,ことによると,(depending on the circumstances),JLPT_1 JLPT JLPT_3
コンテスト,コンテスト,contest,JLPT_1 JLPT JLPT_3
そこで,そこで,"so (conj.), accordingly",JLPT JLPT_2 JLPT_3
だけど,だけど,however,JLPT JLPT_2 JLPT_3
たびたび,たびたび,"often, repeatedly, frequently",JLPT JLPT_2 JLPT_3
ダンス,ダンス,dance,JLPT JLPT_2 JLPT_3
つまり,つまり,namely; in other words; in short,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2
チーズ,チーズ,cheese,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9
チーム,チーム,team,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7
チャンス,チャンス,"chance, opportunity",JLPT JLPT_2 JLPT_3
ちゃんと,ちゃんと,"perfectly, properly, exactly",JLPT JLPT_2 JLPT_3
ちょうだい,ちょうだい,-- colloquial form of ください; typically used by children or women --,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
だって,だって,"but, because, even",JLPT JLPT_2 JLPT_3
たっぷり,たっぷり,"full, in plenty, ample",JLPT JLPT_2 JLPT_3
たとえ,たとえ,"even if, no matter, though",JLPT JLPT_2 JLPT_3
バッグ,バッグ,bag,JLPT JLPT_2 JLPT_3
バランス,バランス,balance,JLPT JLPT_2 JLPT_3
ハンサム,ハンサム,handsome,JLPT JLPT_2 JLPT_3
ビール,ビール,beer,JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki
ピクニック,ピクニック,picnic,JLPT JLPT_2 JLPT_3
ぴったり,ぴったり,"exactly, neatly, sharp",JLPT JLPT_2 JLPT_3
ビデオ,ビデオ,video tape; VCR,JLPT JLPT_3 JLPT_2 Genki_Ln.3 Genki
ピン,ピン,pin,JLPT JLPT_2 JLPT_3
ぶつかる,ぶつかる,"to strike, to collide with",JLPT JLPT_2 JLPT_3
ぶつける,ぶつける,"to knock, to strike hard, to hit and attack",JLPT JLPT_2 JLPT_3
ふと,ふと,"suddenly, accidentally, incidentally",JLPT JLPT_2 JLPT_3
プラス,プラス,plus,JLPT JLPT_2 JLPT_3
プラスチック,プラスチック,plastic,JLPT JLPT_2 JLPT_3
まぶしい,まぶしい,"dazzling, radiant",JLPT JLPT_2 JLPT_3
ショック,ショック,shock,JLPT Intermediate_Japanese JLPT_1 JLPT_3 Intermediate_Japanese_Ln.4
ストレス,ストレス,stress,JLPT_1 JLPT JLPT_3
タイトル,タイトル,title,JLPT_1 JLPT JLPT_3
ダウン,ダウン,down,JLPT_1 JLPT JLPT_3
チャイム,チャイム,chime,JLPT_1 JLPT JLPT_3
データ,データ,data,JLPT_1 JLPT JLPT_3
デザイン,デザイン,design,JLPT_1 JLPT JLPT_3
デザート,デザート,dessert,JLPT_1 JLPT JLPT_3
と,と,and,JLPT_1 JLPT JLPT_3
なぜなら,なぜなら,because,JLPT JLPT_2 JLPT_3
ほっと,ほっと,feel relieved,JLPT_1 JLPT JLPT_3
マスコミ,マスコミ,mass communication,JLPT_1 JLPT JLPT_3
マッサージ,マッサージ,massage,JLPT_1 JLPT JLPT_3
メッセージ,メッセージ,message,JLPT_1 JLPT JLPT_3
ラベル,ラベル,label,JLPT_1 JLPT JLPT_3
ルール,ルール,rule,JLPT_1 JLPT JLPT_3
プラン,プラン,plan,JLPT JLPT_2 JLPT_3
ブレーキ,ブレーキ,a brake,JLPT JLPT_2 JLPT_3
プロ,プロ,professional,JLPT JLPT_2 JLPT_3
ベルト,ベルト,Belt for western clothes,JLPT JLPT_2 JLPT_3
ペンキ,ペンキ,paint,JLPT JLPT_2 JLPT_3
ベンチ,ベンチ,bench,JLPT JLPT_2 JLPT_3
ボーイ,ボーイ,porter; boy,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.6
ボート,ボート,rowing boat,JLPT JLPT_2 JLPT_3
ホーム,ホーム,platform; home,JLPT JLPT_2 JLPT_3
ボール,ボール,ball; bowl,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki
マーケット,マーケット,market,JLPT JLPT_2 JLPT_3
マイク,マイク,mic,JLPT JLPT_2 JLPT_3
ぼんやり,ぼんやり,"dim, faint, vague",JLPT JLPT_2 JLPT_3
間,ま,"space, room, pause",JLPT JLPT_2 JLPT_3
まあ,まあ,well (used when making a modest or hesitant statement),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
迷子,まいご,lost (stray) child,JLPT JLPT_2 JLPT_3
マイナス,マイナス,minus,JLPT JLPT_2 JLPT_3
マスター,マスター,"bar owner, master (e.g., arts, science)",JLPT JLPT_2 JLPT_3
ますます,ますます,"increasingly (same as もっと), more and more",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9
まとまる,まとまる,"to be collected, to be settled, to be in order",JLPT JLPT_2 JLPT_3
まとめる,まとめる,"to put in order, to collect, to bring to a conclusion",JLPT JLPT_2 JLPT_3
たしか,たしか,"certain, sure, if I remember correctly",JLPT JLPT_2 JLPT_3
ただ,ただ,free of charge; just (~); only (~),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Genki_Ln.23 Genki
そして,そして,and then,JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki
そっくり,そっくり,the splitting image of; entirely,JLPT JLPT_2 JLPT_3
そっと,そっと,"softly, gently",JLPT JLPT_2 JLPT_3
はさみ,はさみ,scissors,JLPT JLPT_2 JLPT_3
パス,パス,"path, pass (in games)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
外す,はずす,"to unfasten, to remove",JLPT JLPT_2 JLPT_3
パスポート,パスポート,passport,JLPT JLPT_2 JLPT_3
外れる,はずれる,"to be disconnected, to be out (e.g., of gear)",JLPT JLPT_2 JLPT_3
なお,なお,"still, yet",JLPT JLPT_2 JLPT_3
なにも,なにも,nothing,JLPT JLPT_2 JLPT_3
にっこり,にっこり,"smile sweetly, smile, grin",JLPT JLPT_2 JLPT_3
日本,にっぽん,Japan,JLPT JLPT_2 JLPT_3
日本,にほん,Japan,JLPT JLPT_3 JLPT_2 Genki_Ln.1 Genki
ノー,ノー,no,JLPT JLPT_2 JLPT_3
ノック,ノック,knock; fungo (baseball),JLPT JLPT_2 JLPT_3
パーセント,パーセント,percent,JLPT JLPT_2 JLPT_3
バイオリン,バイオリン,violin,JLPT Genki_Ln.13 JLPT_3 JLPT_2 Genki
ハイキング,ハイキング,hiking,JLPT JLPT_2 JLPT_3
パイプ,パイプ,pipe; channels official or otherwise,JLPT JLPT_2 JLPT_3
パイロット,パイロット,pilot,JLPT JLPT_2 JLPT_3
生える,はえる,"to grow, to spring up; to cut (teeth)",JLPT JLPT_2 JLPT_3
そのうえ,そのうえ,"in addition, furthermore",JLPT JLPT_2 JLPT_3
そのうち,そのうち,"before long, eventually, sooner or later",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1
そのまま,そのまま,"without change, as it is (e.g., now)",JLPT JLPT_2 JLPT_3
ソファー,ソファー,"sofa, couch",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
タイプライター,タイプライター,typewriter,JLPT JLPT_2 JLPT_3
ダイヤ,ダイヤ,(railway) schedule; diamond,JLPT JLPT_2 JLPT_3
タオル,タオル,(hand) towel,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki
だが,だが,"but, however",JLPT JLPT_2 JLPT_3
それぞれ,それぞれ,"each, every, respectively",JLPT JLPT_2 JLPT_3
それでも,それでも,"but (still), and yet, nevertheless",JLPT JLPT_2 JLPT_3
それと,それと,and,JLPT JLPT_2 JLPT_3
それとも,それとも,"or, or else",JLPT JLPT_2 JLPT_3
わざと,わざと,on purpose,JLPT JLPT_2 JLPT_3
アップ,アップ,up,JLPT_1 JLPT JLPT_3
アンケート,アンケート,"questionnaire (FRE: enquete), survey",JLPT_1 JLPT JLPT_3
ラケット,ラケット,racket,JLPT JLPT_2 JLPT_3
インタビュー,インタビュー,interview,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
スタンド,スタンド,stand,JLPT JLPT_2 JLPT_3
ずっと,ずっと,for a long time; all the time; consecutively,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5 Genki_Ln.22 Genki
すっぱい,すっぱい,"sour, acid",JLPT JLPT_2 JLPT_3
すてき,すてき,"lovely, great",JLPT JLPT_2 JLPT_3
セット,セット,set,JLPT JLPT_2 JLPT_3
アイスクリーム,アイスクリーム,ice cream,JLPT JLPT_2 JLPT_3
アウト,アウト,out,JLPT JLPT_2 JLPT_3
ライター,ライター,lighter; writer,JLPT JLPT_2 JLPT_3
すなわち,すなわち,"that is, namely, e.g.",JLPT JLPT_2 JLPT_3
ロケット,ロケット,"locket, rocket",JLPT JLPT_2 JLPT_3
コーチ,コーチ,coach,JLPT JLPT_2 JLPT_3
レベル,レベル,level,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5
ヨーロッパ,ヨーロッパ,Europe,JLPT JLPT_2 JLPT_3
ヨット,ヨット,yacht,JLPT JLPT_2 JLPT_3
より,より,"twist, ply",JLPT JLPT_2 JLPT_3
よろしく (かん),よろしく (かん),"best regards, please remember me",JLPT JLPT_2 JLPT_3
ゴール,ゴール,goal,JLPT JLPT_2 JLPT_3
こぼす,こぼす,to spill,JLPT JLPT_2 JLPT_3
こぼれる,こぼれる,"to overflow, to spill",JLPT JLPT_2 JLPT_3
ミルク,ミルク,milk,JLPT JLPT_2 JLPT_3
ユーモア,ユーモア,humor,JLPT JLPT_2 JLPT_3
メンバー,メンバー,member,JLPT JLPT_2 JLPT_3
やや,やや,"a little, partially, somewhat",JLPT JLPT_2 JLPT_3
メモ,メモ,"memorandum, note",JLPT JLPT_2 JLPT_3
もしかすると,もしかすると,"perhaps, maybe, by some chance",JLPT JLPT_2 JLPT_3
もしも,もしも,if,JLPT JLPT_2 JLPT_3
もったいない,もったいない,"wasteful; more than one deserves, unworthy of",JLPT JLPT_2 JLPT_3
やがて,やがて,"before long, soon, at length",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
ごめんなさい,ごめんなさい,"I beg your pardon, excuse me, I'm sorry",JLPT JLPT_3 JLPT_2 Genki_Ln.4 Genki
これら,これら,these,JLPT JLPT_2 JLPT_3
ママ,ママ,Mama,JLPT JLPT_2 JLPT_3
ミス,ミス,"miss (mistake, error, failure), Miss",JLPT_1 JLPT JLPT_2 JLPT_3
こんにちは,こんにちは,"hello, good day (daytime greeting)",JLPT JLPT_2 JLPT_3
サービス,サービス,"service, support system; goods or services without charge",JLPT JLPT_2 JLPT_3
サイン,サイン,autograph; sign; sine,JLPT JLPT_2 JLPT_3
ざっと,ざっと,"roughly, in round numbers",JLPT JLPT_2 JLPT_3
さっぱり,さっぱり,"feeling refreshed, neat",JLPT JLPT_2 JLPT_3
さて,さて,"well; now (typically used when switching to a new, usually more important topic)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
こんなに,こんなに,"so, like this, in this way",JLPT JLPT_2 JLPT_3
コード,コード,code; cord; chord,JLPT JLPT_2 JLPT_3
スピーチ,スピーチ,speech,JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21
すみません (かん),すみません (かん),"sorry, excuse me",JLPT JLPT_2 JLPT_3
ずれる,ずれる,"move, off the point",JLPT JLPT_2 JLPT_3
あいにく,あいにく,unfortunately,JLPT JLPT_2 JLPT_3
アルバム,アルバム,album,JLPT JLPT_2 JLPT_3
いけない,いけない,"must not do, bad, wrong",JLPT JLPT_2 JLPT_3
あんなに,あんなに,"to that extent, to that degree",JLPT JLPT_2 JLPT_3
あんまり,あんまり,"not very, not much",JLPT JLPT_2 JLPT_3
いずれ,いずれ,"where, which, who",JLPT JLPT_2 JLPT_3
いたずら,いたずら,"trick, practical joke",JLPT JLPT_2 JLPT_3
いただきます,いただきます,expression of gratitude before meals,JLPT JLPT_2 JLPT_3
いつか,いつか,"sometime, one day",JLPT JLPT_2 JLPT_3
いつでも,いつでも,"(at) any time, always",JLPT JLPT_2 JLPT_3
いつのまにか,いつのまにか,before one knows,JLPT JLPT_2 JLPT_3
いつまでも,いつまでも,"forever, for good, eternally",JLPT JLPT_2 JLPT_3
イメージ,イメージ,one's image,JLPT JLPT_2 JLPT_3
グループ,グループ,group,JLPT JLPT_2 JLPT_3
ケース,ケース,case,JLPT_1 JLPT JLPT_2 JLPT_3
ゲーム,ゲーム,game,JLPT JLPT_2 JLPT_3
けち,けち,"stinginess, miser",JLPT JLPT_2 JLPT_3
